Unique Loan ID,Product,Product Type Vertical,Customer Id,Order Type,Origination Date - Vintage,GMV - USD,Down Payment Amount - USD,Loan Amount - USD,Current Loan Balance - USD,Total Paid Towards Capital - USD,Total Paid Towards Fees - USD,Amount in Arrears without fees - USD,Fees Accrued - USD,Installments in Arrears,Amount to be Caused,Installments to be Caused,1st Installment Due Date,1st Installment Amount - USD,1st Installment Completion Date,Delay for 1st Installment Payment - Days,2nd Installment Due Date,2nd Installment Amount - USD,2nd Installment Completion Date,Delay for 2nd Installment Payment - Days,3rd Installment Due Date,3rd Installment Amount - USD,3rd Installment Completion Date,Delay for 3rd Installment Payment - Days,Order Status,Loan delay - DPD,Factoring,FPD,Transaction Period,Merchant Id,User Credit Score
14813117,SPLIT_1,Supermercados,FGpUqRj+pUzbL4ocrK2asQ==,Follow up order,30/01/2025,32.4,12.96,19.44,0.0,19.44,0.0,0.0,0.0,0,0.0,0,13/02/2025,19.44,31/01/2025,0,,,,,,,,,CLOSED,,No,No,14,sxn82NMel6lo3IpnTVVTmg==,459.0
9276794,SPLIT_3,Hogar,PkmzkP0IasFObRV/KU/+Yg==,First order,15/11/2024,49.96,29.98,19.98,13.32,6.66,0.0,13.32,8.0,2,0.0,0,29/11/2024,6.66,30/11/2024,1,13/12/2024,6.66,,109.0,27/12/2024,6.66,,95.0,DELAYED,109.0,Yes,No,42,YCP1aZI53vtLqP9R4u+01Q==,394.0
8894984,SPLIT_1,Supermercados,Lx0IHchUzhZaLrm4jz4Olw==,Follow up order,06/11/2024,43.72,17.49,26.23,0.0,26.23,0.0,0.0,0.0,0,0.0,0,20/11/2024,26.23,20/11/2024,0,,,,,,,,,CLOSED,,No,No,14,PN1wd0fA257WikPjq7fG4A==,498.0
16352374,SPLIT_3,Moda,B2/LZz9KkD2judOMbW1N3A==,Follow up order,24/02/2025,41.59,24.95,16.64,5.55,11.09,0.0,0.0,0.0,0,5.55,1,10/03/2025,5.55,24/02/2025,0,24/03/2025,5.55,21/03/2025,0.0,07/04/2025,5.55,,-6.0,IN_PROGRESS,,No,No,42,jlnNtPj0MMUjz4Uoyy9Fpg==,409.0
15754465,SPLIT_1,Supermercados,zg5145b1JIhd7ygTF7oWGQ==,Follow up order,15/02/2025,41.8,25.08,16.72,0.0,16.72,4.0,0.0,4.0,0,0.0,0,01/03/2025,16.72,05/03/2025,4,,,,,,,,,CLOSED,,Yes,No,14,yJfrqIiCjqWc3/lWV5BNRw==,506.0
11964120,SPLIT_3,Hogar,vqM62b++XnPFnOi/Xe44Gg==,Follow up order,20/12/2024,45.0,22.5,22.5,0.0,22.5,0.0,0.0,0.0,0,0.0,0,03/01/2025,7.5,03/01/2025,0,17/01/2025,7.5,08/01/2025,0.0,31/01/2025,7.5,31/01/2025,0.0,CLOSED,,No,No,42,YCP1aZI53vtLqP9R4u+01Q==,420.0
15929059,SPLIT_3,Tecnología,RfnhJ3b7cnSqABolCFjT0Q==,Follow up order,17/02/2025,179.97,71.99,107.98,0.0,107.98,0.0,0.0,0.0,0,0.0,0,03/03/2025,35.99,28/02/2025,0,17/03/2025,35.99,02/03/2025,0.0,31/03/2025,35.99,20/03/2025,0.0,CLOSED,,No,No,42,l3fnODoc0dcnoLbn6bAvGw==,450.0
14174195,SPLIT_3,Tecnología,lI42LiD+thpJD/FfW4EI1Q==,First order,18/01/2025,155.0,93.0,62.0,0.0,62.0,0.0,0.0,0.0,0,0.0,0,01/02/2025,20.67,01/02/2025,0,15/02/2025,20.67,16/02/2025,1.0,01/03/2025,20.67,02/03/2025,1.0,CLOSED,,No,No,42,qyDZM00IeQR8siGlx0IpaA==,298.0
13254610,SPLIT_3,Moda,uxH+1qgBQUgOoR2sVDZnXA==,Follow up order,30/12/2024,30.0,18.0,12.0,0.0,12.0,8.0,0.0,8.0,0,0.0,0,13/01/2025,4.0,29/01/2025,16,27/01/2025,4.0,29/01/2025,2.0,10/02/2025,4.0,26/03/2025,44.0,CLOSED,,Yes,No,42,KtyLyK1onMG9xgYjnLDVJQ==,506.0
12193386,SPLIT_3,Moda,wu02Y/op++e+F3eqF7VZog==,First order,21/12/2024,30.0,18.0,12.0,0.0,12.0,0.0,0.0,0.0,0,0.0,0,04/01/2025,4.0,04/01/2025,0,18/01/2025,4.0,19/01/2025,1.0,01/02/2025,4.0,02/02/2025,1.0,CLOSED,,No,No,42,d76s7ADMeTVozuJdV7LiTA==,375.0
16774929,SPLIT_1,Farmacias,gI7ChgsWTHxrE6raHRshTw==,Follow up order,02/03/2025,59.77,23.91,35.86,0.0,35.86,0.0,0.0,0.0,0,0.0,0,16/03/2025,35.86,15/03/2025,0,,,,,,,,,CLOSED,,No,No,14,NqfeCmO2UMrSDU8E+DVeWA==,12.0
9227467,SPLIT_3,Moda,iS90y8M8jE4qhz/r97sGKQ==,Follow up order,13/11/2024,123.99,74.39,49.6,0.0,49.6,0.0,0.0,0.0,0,0.0,0,27/11/2024,16.53,23/11/2024,0,11/12/2024,16.53,29/11/2024,0.0,25/12/2024,16.53,16/12/2024,0.0,CLOSED,,No,No,42,lXAVT6CVxjwpZgt2BTUsYw==,361.0
16003576,SPLIT_1,Farmacias,4GG9Zk9Aejr9FKGTyG6jXw==,Follow up order,18/02/2025,25.65,10.26,15.39,0.0,15.39,0.0,0.0,0.0,0,0.0,0,04/03/2025,15.39,03/03/2025,0,,,,,,,,,CLOSED,,No,No,14,yHuQLuMe9Xb10iOw6fc5OQ==,363.0
9714517,SPLIT_3,Moda,eWZQAtXbGBwwGA3zRP0ctA==,Follow up order,22/11/2024,74.7,44.82,29.88,0.0,29.88,0.0,0.0,0.0,0,0.0,0,06/12/2024,9.96,05/12/2024,0,20/12/2024,9.96,17/12/2024,0.0,03/01/2025,9.96,03/01/2025,0.0,CLOSED,,No,No,42,7zRO7wMDFpHXWpsQTk0Eqg==,490.0
18549622,SPLIT_1,Farmacias,9Sv+SAZzxwWxV1S27mUtew==,Follow up order,29/03/2025,33.75,16.88,16.88,16.88,0.0,0.0,0.0,0.0,0,16.88,1,12/04/2025,16.88,,-11,,,,,,,,,IN_PROGRESS,,No,No,14,t3YBWQU3jXqfkgqqxv+/pA==,284.0
18422522,SPLIT_1,Supermercados,caactHnKy3ft0Psl12VclA==,Follow up order,28/03/2025,37.69,18.84,18.84,18.27,0.58,0.0,0.0,0.0,0,18.27,1,11/04/2025,18.84,,-10,,,,,,,,,IN_PROGRESS,,No,No,14,6JssTzdlF8/iuv5zgUohig==,421.0
10022383,SPLIT_1,Restaurantes,X17O9D/0w5mEqE/xyxg0pw==,Follow up order,27/11/2024,20.47,12.28,8.19,0.0,8.19,0.0,0.0,0.0,0,0.0,0,11/12/2024,8.19,02/12/2024,0,,,,,,,,,CLOSED,,No,No,14,edVTGNHhy4iY0CN4Suw8Aw==,419.0
12588332,SPLIT_3,Moda,/OKlb6Em0vMXpO9G18obWA==,Follow up order,23/12/2024,35.0,21.0,14.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0,06/01/2025,4.67,06/01/2025,0,20/01/2025,4.67,16/01/2025,0.0,03/02/2025,4.67,24/01/2025,0.0,CLOSED,,No,No,42,4ttafy8gPc1igZI/egFBIg==,423.0
13158429,SPLIT_3,Moda,tUC9NAgUmf9PKhI8/ceG6w==,Follow up order,29/12/2024,80.48,32.19,48.29,0.0,48.29,8.0,0.0,8.0,0,0.0,0,12/01/2025,16.1,21/01/2025,9,26/01/2025,16.1,03/02/2025,8.0,09/02/2025,16.1,10/02/2025,1.0,CLOSED,,Yes,No,42,7zRO7wMDFpHXWpsQTk0Eqg==,426.0
13669736,SPLIT_3,Hogar,oCoG2MbVplFSQow11TLg7w==,Follow up order,06/01/2025,83.43,50.06,33.37,33.37,0.0,0.0,33.37,12.0,3,0.0,0,20/01/2025,11.12,,71,03/02/2025,11.12,,57.0,17/02/2025,11.12,,43.0,DELAYED,71.0,Yes,Yes,42,H2rnrmfHoc2tGaJ6KilK5g==,460.0
13987477,SPLIT_3,Salud,dVS0R9+SBKgm6SNg+Ny4NA==,Follow up order,14/01/2025,34.2,13.68,20.52,0.0,20.52,0.0,0.0,0.0,0,0.0,0,28/01/2025,6.84,22/01/2025,0,11/02/2025,6.84,09/02/2025,0.0,25/02/2025,6.84,22/02/2025,0.0,CLOSED,,No,No,42,RCVOwF/2XIDC/P0sVr0CDA==,3.0
13857670,SPLIT_3,Salud,fn9WIrWr1vCfNhJLBTKbLw==,Follow up order,11/01/2025,99.22,49.61,49.61,0.0,49.61,0.0,0.0,0.0,0,0.0,0,25/01/2025,16.54,15/01/2025,0,08/02/2025,16.54,02/02/2025,0.0,22/02/2025,16.54,15/02/2025,0.0,CLOSED,,No,No,42,R0ZCRS6R/wzL7yglV4RpuQ==,445.0
11489841,SPLIT_3,Deporte,/gpKZptY9D5u0xgBHq0z7w==,Follow up order,15/12/2024,34.5,20.7,13.8,0.0,13.8,4.0,0.0,4.0,0,0.0,0,29/12/2024,4.6,30/12/2024,1,12/01/2025,4.6,14/01/2025,2.0,26/01/2025,4.6,30/01/2025,4.0,CLOSED,,Yes,No,42,PuBISOvtsGh4MCLQ3dZu3Q==,433.0
8887360,SPLIT_3,Moda,kCvT0JkAeLBwto91vMmHww==,Follow up order,06/11/2024,36.8,14.72,22.08,0.0,21.97,0.28,0.0,0.11,0,0.0,0,20/11/2024,7.36,19/11/2024,0,04/12/2024,7.36,04/12/2024,0.0,18/12/2024,7.36,11/12/2024,0.0,CLOSED,,No,No,42,7ZpmtceZLd4iNJ1pc1by4w==,391.0
15203722,SPLIT_3,Salud,dVZZnVwT/zsTd7JPv8Eq2g==,First order,06/02/2025,28.0,16.8,11.2,0.0,11.2,0.0,0.0,0.0,0,0.0,0,20/02/2025,3.73,14/02/2025,0,06/03/2025,3.73,14/02/2025,0.0,20/03/2025,3.73,14/02/2025,0.0,CLOSED,,No,No,42,COXb2hKfYoHBpQk7taMm2A==,320.0
15923550,SPLIT_3,Tecnología,7ISOvKJ5ymFf4mmOKCAy8g==,Follow up order,16/02/2025,69.99,28.0,41.99,0.0,41.99,0.0,0.0,0.0,0,0.0,0,02/03/2025,14.0,02/03/2025,0,16/03/2025,14.0,14/03/2025,0.0,30/03/2025,14.0,29/03/2025,0.0,CLOSED,,No,No,42,l3fnODoc0dcnoLbn6bAvGw==,345.0
9666645,SPLIT_3,Hogar,eAKcrJVEbA4+h3cm3o/oRg==,Follow up order,21/11/2024,27.41,10.96,16.45,0.0,16.45,4.0,0.0,4.0,0,0.0,0,05/12/2024,5.48,06/12/2024,1,19/12/2024,5.48,17/12/2024,0.0,02/01/2025,5.48,05/03/2025,62.0,CLOSED,,Yes,No,42,YCP1aZI53vtLqP9R4u+01Q==,411.0
16950420,SPLIT_3,Deporte,YgFm2Ntjb5DRw3rF9abaPA==,Follow up order,05/03/2025,90.0,54.0,36.0,12.0,24.0,0.0,0.0,0.0,0,12.0,1,19/03/2025,12.0,16/03/2025,0,02/04/2025,12.0,30/03/2025,0.0,16/04/2025,12.0,,-15.0,IN_PROGRESS,,No,No,42,lXAVT6CVxjwpZgt2BTUsYw==,462.0
11332720,SPLIT_3,Hogar,td6FOrllJus9XR/yLC6q0Q==,Follow up order,14/12/2024,64.97,38.98,25.99,0.0,25.99,8.0,0.0,8.0,0,0.0,0,28/12/2024,8.66,24/12/2024,0,11/01/2025,8.66,24/03/2025,72.0,25/01/2025,8.66,24/03/2025,58.0,CLOSED,,Yes,No,42,YCP1aZI53vtLqP9R4u+01Q==,452.0
13270269,SPLIT_3,Moda,h4rzrX9u4h+hcM1gxqjVwg==,Follow up order,30/12/2024,189.37,126.53,62.84,62.84,0.0,0.0,62.84,12.0,3,0.0,0,13/01/2025,20.95,,78,27/01/2025,20.95,,64.0,10/02/2025,20.95,,50.0,DELAYED,78.0,Yes,Yes,42,d76s7ADMeTVozuJdV7LiTA==,328.0
9114229,SPLIT_1,Supermercados,FdZ1Sk5h9PxyY6CW2xhFCQ==,Follow up order,10/11/2024,46.56,27.94,18.62,0.0,18.62,0.0,0.0,0.0,0,0.0,0,24/11/2024,18.62,20/11/2024,0,,,,,,,,,CLOSED,,No,No,14,iTsIO2xva0VuJgrBUvswTw==,313.0
11001846,SPLIT_3,Deporte,dGXBH8flr+4Hg9rg8ouQHg==,Follow up order,10/12/2024,26.5,10.6,15.9,0.0,15.9,0.0,0.0,0.0,0,0.0,0,24/12/2024,5.3,21/12/2024,0,07/01/2025,5.3,26/12/2024,0.0,21/01/2025,5.3,26/12/2024,0.0,CLOSED,,No,No,42,UdELsGUL1b4q/SNZkIxltw==,20.0
14784818,SPLIT_12,Tecnología,UFqi3X+oXkeuAuxHh6296w==,Follow up order,30/01/2025,524.0,209.6,314.4,0.0,78.6,0.0,0.0,0.0,0,0.0,0,13/02/2025,26.2,13/02/2025,0,27/02/2025,26.2,26/02/2025,0.0,13/03/2025,26.2,26/02/2025,0.0,IN_PROGRESS,,No,No,168,qyDZM00IeQR8siGlx0IpaA==,434.0
15119171,SPLIT_1,Supermercados,y+4J0vGAlTd147PvaRB/IQ==,Follow up order,04/02/2025,69.32,27.73,41.59,0.0,41.59,0.0,0.0,0.0,0,0.0,0,18/02/2025,41.59,18/02/2025,0,,,,,,,,,CLOSED,,No,No,14,iTsIO2xva0VuJgrBUvswTw==,423.0
17842120,SPLIT_3,Moda,VRl7HcUo5flbIVcEX6ZuMg==,Follow up order,18/03/2025,31.98,19.19,12.79,8.53,4.26,0.0,0.0,0.0,0,8.53,2,01/04/2025,4.26,31/03/2025,0,15/04/2025,4.26,,-14.0,29/04/2025,4.26,,-28.0,IN_PROGRESS,,No,No,42,JOtgkrN0VF34Z2mv1+6SIw==,364.0
11930267,SPLIT_1,Supermercados,QTfcZwTlASVLEPY0pxOkFA==,Follow up order,19/12/2024,75.06,30.02,45.04,0.0,45.04,0.0,0.0,0.0,0,0.0,0,02/01/2025,45.04,29/12/2024,0,,,,,,,,,CLOSED,,No,No,14,6JssTzdlF8/iuv5zgUohig==,15.0
12295926,SPLIT_3,Moda,oncZ41JfH0EKvFLMkf4N3w==,Follow up order,22/12/2024,30.99,18.59,12.4,8.26,4.13,4.0,8.26,12.0,2,0.0,0,05/01/2025,4.13,16/01/2025,11,19/01/2025,4.13,,72.0,02/02/2025,4.13,,58.0,DELAYED,72.0,Yes,No,42,ELqjHrLsB16N6nyPSIKyvQ==,469.0
12664245,SPLIT_3,Moda,5s4YzhK1s+cA3KTU3e8qPA==,Follow up order,24/12/2024,25.0,15.0,10.0,0.0,10.0,8.0,0.0,8.0,0,0.0,0,07/01/2025,3.33,04/01/2025,0,21/01/2025,3.33,08/02/2025,18.0,04/02/2025,3.33,09/02/2025,5.0,CLOSED,,Yes,No,42,FVh6z0dTXqIe7Hh5AugqHQ==,347.0
12672597,SPLIT_3,Moda,3Te1C3QAw+W38hbeRXDzOQ==,Follow up order,24/12/2024,26.68,10.67,16.01,0.0,16.01,0.0,0.0,0.0,0,0.0,0,07/01/2025,5.34,07/01/2025,0,21/01/2025,5.34,21/01/2025,0.0,04/02/2025,5.34,03/02/2025,0.0,CLOSED,,No,No,42,jlnNtPj0MMUjz4Uoyy9Fpg==,572.0
17118096,SPLIT_1,Farmacias,IdiaF3wWAMuDJYXGWmIzcg==,Follow up order,08/03/2025,112.96,67.78,45.18,0.0,45.18,0.0,0.0,0.0,0,0.0,0,22/03/2025,45.18,16/03/2025,0,,,,,,,,,CLOSED,,No,No,14,yHuQLuMe9Xb10iOw6fc5OQ==,426.0
9876215,SPLIT_3,Moda,pnHXHCQaAmg2815lbEnm1w==,Follow up order,24/11/2024,50.0,30.0,20.0,0.0,20.0,8.0,0.0,8.0,0,0.0,0,08/12/2024,6.67,12/12/2024,4,22/12/2024,6.67,30/12/2024,8.0,05/01/2025,6.67,30/12/2024,0.0,CLOSED,,Yes,No,42,ilrpuYhIMPce57f6xWF84w==,360.0
12096003,SPLIT_3,Moda,Z6Wcwl0Ick87jnk1+pdScA==,Follow up order,21/12/2024,81.4,48.84,32.56,0.0,32.56,0.0,0.0,0.0,0,0.0,0,04/01/2025,10.85,03/01/2025,0,18/01/2025,10.85,16/01/2025,0.0,01/02/2025,10.85,16/01/2025,0.0,CLOSED,,No,No,42,DRF0aLK1R8VfODn/jvjkDg==,463.0
14564695,SPLIT_1,Supermercados,xlyyx4OAvYTMKKd9zDADxw==,Follow up order,25/01/2025,151.86,60.74,91.12,0.0,91.12,0.0,0.0,0.0,0,0.0,0,08/02/2025,91.12,07/02/2025,0,,,,,,,,,CLOSED,,No,No,14,PN1wd0fA257WikPjq7fG4A==,13.0
